"CODIGO","NOMBRE","NIVEL","ACLARACION"
"15200","RESECCIÓN DE TUMORES DE LA BASE DEL CRÁNEO, FOSA ANTERIOR SOD",3,
"15201","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA ANTERIOR, VÍA CRÁNEOFACIAL ANTERIOR",3,
"15202","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA ANTERIOR, VÍA CRÁNEOFACIAL ANTEROLATERAL",3,
"15203","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA ANTERIOR, VÍA ANTEROLATERAL Y RINOTOMIA LATERAL",3,
"15204","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA ANTERIOR, VÍA TRANSZIGOMATICA Y TRANSPALATAL",3,
"15300","RESECCIÓN DE TUMORES DE LA BASE DEL CRÁNEO, FOSA MEDIA SOD",3,
"15301","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA MEDIA, POR CRANEOTOMÍA FRONTAL Y OSTEOTOMÍA FRONTO ETMOIDAL",3,
"15302","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA MEDIA, POR ABORDAJE TRANSMAXILAR",3,
"15304","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA MEDIA, VÍA SUBTEMPORAL Y OSTEOTOMÍA ZIGOMÁTICA",3,
"15305","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA MEDIA, VÍA SUBFRONTAL EXTENDIDA",3,
"15306","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA MEDIA, VÍA SUBTEMPORAL",3,
"15307","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA MEDIA, VÍA PREAURICULAR INFRATENTORIAL Y CERVICOTOMIA",3,
"15308","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA MEDIA, VÍA SUBFRONTAL",3,
"15309","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA MEDIA, POR ORBITOTOMIA LATERAL",3,
"15310","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA MEDIA, VÍA TRANSESFENOIDAL",3,
"15311","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA MEDIA, VÍA TRANSESFENOIDAL ENDOSCOPICA",3,
"15400","RESECCIÓN DE TUMORES DE LA BASE DEL CRÁNEO, FOSA POSTERIOR SOD",3,
"15401","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA POSTERIOR, VÍA EXTREMO LATERAL",3,
"15402","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA POSTERIOR, VÍA FRONTO ORBITO ETMOIDAL",3,
"15403","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA POSTERIOR, VÍA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMIA TRANSMANDIBULAR",3,
"15404","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA POSTERIOR, VÍA TRANSORAL",3,
"15405","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA POSTERIOR, VÍA MAXILOTOMIA EXTENDIDA",3,
"15406","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA POSTERIOR, VÍA TRANSLABERINTICA",3,
"15407","ESCISIÓN DE LESION CON SALPINGECTOMIA PARCIAL, POR LAPAROSCOPIA",3,
"15408","RESECCIÓN DE TUMOR DE LA BASE DEL CRÁNEO, FOSA POSTERIOR, VÍA FOSA MEDIA",3,
15409,"HISTERECTOMIA RADICAL POR LAPAROSCOPIA",3,
15501,"TOMA DE INJERTO OSEO DE CRÁNEO",3,
"16100","RESECCIÓN DE TUMORES EN MENINGES CEREBRALES SOD",3,
"16101","RESECCIÓN TUMOR DE MENINGE CEREBRAL, POR CRANEOTOMÍA",3,
"16102","RESECCIÓN TUMOR DE MENINGE CEREBRAL, POR CRANIECTOMIA CON DUROPLASTIA Y CRÁNEOPLASTIA",3,
16200,"RESECCIÓN TUMORES DE LA HOZ SOD",3,
"16201","RESECCIÓN TUMOR DE LA HOZ, POR CRANEOTOMÍA Y PLASTIA",3,
16300,"RESECCIÓN TUMORES DEL TENTORIO SOD",3,
"16301","RESECCIÓN TUMOR DEL TENTORIO, POR CRANEOTOMÍA",3,
"16400","RESECCIÓN DE OTRA LESION DE MENINGE CEREBRAL SOD",3,
"16401","DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA",3,
"17000","DRENAJE DE COLECCIONES INTRACEREBRALES SOD",3,
"17001","DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMÍA",3,
"17002","DRENAJE DE COLECCIONES INTRACEREBRALES, GUIADO POR ESTEREOTAXIA",3,
"17003","DRENAJE DE COLECCIONES INTRACEREBRALES, POR PUNCION DIRIGIDA",3,
"17004","DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMÍA SUBOCCIPITAL",3,
"17005","DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, GUIADO POR ESTEREOTAXIA",3,
"17200","RESECCIÓN DE TUMORES SUPRATENTORIALES HEMISFERICOS SOD",3,
"17201","RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMÍA",3,
"17202","RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMÍA OSTEOPLASTICA",3,
"17203","RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA",3,
"17204","RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFERICO, CON ESTIMULACION CORTICAL",3,
17209,"DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL",3,
"17300","RESECCIÓN TUMORES INFRATENTORIALES HEMISFERICOS SOD",3,
"17301","RESECCIÓN TUMOR I NTRACEREBELOSO, POR CRANEOTOMÍA SUBOCCI-PITAL",3,
17303,"DRENAJE DE QUISTE TUMORAL INFRATENTORIAL",3,
"17400","RESECCIÓN DE TUMORES DE LINEA MEDIA SUPRATENTORIALES SOD",3,
"17401","RESECCIÓN DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMÍA",3,
"17500","RESECCIÓN DE TUMORES DE LINEA MEDIA INFRATENTORIALES SOD",3,
"17501","RESECCIÓN DE TUMOR DE LINEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMÍA SUBOCCIPITAL",3,
"17502","RESECCIÓN DE TUMOR DE LINEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA",3,
"17504","RESECCIÓN DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES), POR CRANEOTOMÍA SUBOCCIPITAL",3,
"17505","RESECCIÓN DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES), POR CRANEOTOMÍA DE FOSA MEDIA",3,
"17508","RESECCIÓN DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMÍA SUBOCCIPITAL",3,
"17509","RESECCIÓN DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMÍA SUBTEMPORAL",3,
"17600","RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES SOD",3,
"17601","RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMÍA",3,
"17700","RESECCIÓN DE LESIONES VENTRICULARES INFRATENTORIALES SOD",3,
"17701","RESECCIÓN DE LESIONES VENTRICULARES INFRATENTORIALES, POR CRANEOTOMÍA SUBOCCIPITAL",3,
"17800","RESECCIÓN DE LESIONES INTRAVENTICULARES DE LINEA MEDIA SOD",3,
"17801","RESECCIÓN DE LESIONES INTRAV ENTICULARES DE LINEA MEDIA, POR CRANEOTOMÍA",3,
"17805","DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTICULAR",3,
18100,"HEMISFERECTOMIA CEREBRAL SOD",3,
18101,"HEMISFERECTOMIA CEREBRAL POR CRANEOTOMÍA",3,
"18201","HEMISFERECTOMIA CEREBELOSA POR CRANEOTOMÍA SUBOCCIPITAL",3,
19100,"LOBECTOMIA POR CRANEOTOMÍA SOD",3,
19200,"LOBECTOMIA POR CRANIECTOMIA SOD",3,
20100,"APERTURA DE SUTURA CRANEAL SOD",3,
"20101","CORRECCIÓN DE CRÁNEO SINOSTOSIS, POR CRANIECTOMIA SIN AVANCES",3,
"20102","CORRECCIÓN DE CRÁNEO SINOSTOSIS, POR CRANIECTOMIA CON AVANCE FRONTAL",3,
"20103","CORRECCIÓN DE CRÁNEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA, POR CRANIECTOMIA MULTIPLE",3,
"20104","CORRECCIÓN DE CRÁNEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA, CON AVANCE FRONTAL",3,
"20105","CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, POR CRANEOTOMÍA",3,
"20106","CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, CON AVANCE FRONTO-ORBITARIO",3,
"20107","CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, CON AVANCE FRONTO NASAL (LEFORT III)",3,
"20108","CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, CON AVANCE FRONTO MAXILAR (LEFORT II)",3,
"20200","ELEVACIÓN DE FRAGMENTOS DE FRACTURA DE CRÁNEO (ESQUIRLEC-TOMIA) SOD",3,
"20201","ESQUIRLECTOMIA CRANEAL A TRAVES DE TREPANACION",3,
"20202","DESBRIDAMIENTO DE FRACTURA COMPUESTA (CONMINUTA) DE CRÁNEO",3,
"20203","REDUCCION DE FRACTURA CRANEAL (HUNDIMIENTO SIN COMPROMISO DE DURA) CON ESQUIRLECTOMIA Y CRÁNEOPLASTIA",3,
"20204","REDUCCION DE FRACTURA COMPUESTA (CONMINUTA) DE CRÁNEO, CON PLASTIA DURAL Y LIMPIEZA HEMOSTASIA CEREBRAL (DESBRIDA- MIENTO) EN UN SOLO TIEMPO",3,
20400,"INJERTO OSEO EN CRÁNEO SOD",3,
"20401","CORRECCIÓN DE DEFECTO OSEO PRE-EXISTENTE POR CRÁNEOPLASTIA, CON INJERTO AUTÓLOGO O HETEROLOGO",3,
"20500","INSERCIÓN O SUSTITUCIÓNDE PLACA O MALLA CRANEAL (METALICA, ACRILICA) SOD",3,
20600,"OSTEOPLASTIA CRANEAL SOD",3,
"20601","CORRECCIÓN DISPLASIA FIBROSA POR CRÁNEOPLASTIA",3,
20700,"EXTRACCIÓN DE PLACA CRANEAL SOD",3,
"21101","CORRECCIÓN DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA, POR CRANEOTOMÍA",3,
"21102","CORRECCIÓN DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA, CON PLASTIA DURAL",3,
"21103","CORRECCIÓN DE DESGARRO DURAL EN BASE DE CRÁNEO, POR CRANEOTOMÍA",3,
"21104","CORRECCIÓN DE DESGARRO DURAL EN BASE DE CRÁNEO, CON PLASTIA AUTOLOGA O HETEROLOGA, POR CRANEOTOMÍA",3,
"21201","CORRECCIÓN FISTULA LCR EN BOVEDA CRANEANA, POR CRANEOTOMÍA Y CRÁNEOPLASTIA",3,
"21202","CORRECCIÓN FISTULA LCR EN BOVEDA CRANEANA, POR DUROPLASTIA",3,
"21203","CORRECCIÓN FISTULA LCR EN BASE DE CRÁNEO ANTERIOR, VÍA SUBFRONTAL",3,
"21204","CORRECCIÓN FISTULA LCR EN BASE DE CRÁNEO ANTERIOR, VÍA TRANSESFENOIDAL",3,
"21205","CORRECCIÓN FISTULA LCR EN BASE DE CRÁNEO ANTERIOR, VÍA ENDOSCOPICA TRANSNASAL",3,
"21207","CORRECCIÓN FISTULA LCR EN BASE DE CRÁNEO MEDIO, VÍA TRANSESFENOIDAL",3,
"21208","CORRECCIÓN FISTULA LCR EN BASE DE CRÁNEO POSTERIOR, VÍA SUBOCCIPITAL",3,
"21209","CORRECCIÓN DE MENINGOCELE, POR CRANIECTOMIA",3,
"21210","CORRECCIÓN DE MENINGOCELE, CON CRÁNEOPLASTIA",3,
"21211","CORRECCIÓN DE MENINGOCELE DE FOSA ANTERIOR, POR CRANIEC-TOMIA Y PLASTIA DE MENINGE",3,
"21212","CORRECCIÓN DE MENINGOCELE DE FOSA ANTERIOR, CON AVANCE FRONTO ORBITARIO Y PLASTIA DE MENINGE",3,
"21214","CORRECCIÓN DE MENINGOENCEFALOCELE POR CRANIECTOMIA CON PLASTIA DE MENINGE Y CRÁNEOPLASTIA",3,
22101,"DERIVACIÓN DE VENTRICULO A CISTERNA MAGNA",3,
22200,"VENTRICULOSTOMIA EXTERNA SOD",3,
"22201","COLOCACIÓN DE CATÉTER VENTRICULAR AL EXTERIOR",3,
"22202","DERIVACIÓN VENTRICULAR A ESPACIO SUBARACNOIDEO CERVICAL [TORKILSEN]",3,
"22300","COLOCACIÓN DE CATÉTER VENTRICULO PERITONEAL, SIN VALVULA SOD",3,
"23200","DERIVACIÓN VENTRICULAR A APARATO CIRCULATORIO SOD",3,
23201,"DERIVACIÓN VENTRICULOATRIAL",3,
"23400","DERIVACIÓN VENTRICULAR A CAVIDAD Y ORGANOS ABDOMINALES SOD",3,
23401,"VENTRICULOPERITONEOSTOMIA",3,
"23402","DERIVACIÓN CISTO PERITONEAL [QUISTE VENTRICULAR A PERITONEO]",3,
24100,"IRRIGACION DE DERIVACIÓN VENTRICULAR SOD",3,
"24200","SUSTITUCIÓNO REEMPLAZO DE DERIVACIÓN VENTRICULAR SOD",3,
24201,"REEMPLAZO PARCIAL DE DERIVACIÓN",3,
24202,"REEMPLAZO TOTAL DE DERIVACIÓN",3,
24300,"RETIRO DE DERIVACIÓN SOD",3,
"25000","IMPLANTE DE CATÉTER (INTRAVENTRICULAR, INTRACISTICO) CON RESERVORIO SUBCUTANEO SOD",3,
28100,"LISIS DE ADHERENCIAS CORTICALES SOD",3,
"28200","IMPLANTACIÓN DE DISPOSITIVO DE MONITORIA PARA PRESION INTRACRANEANA SOD",3,
28201,"IMPLANTACIÓN DE CATÉTER INTRACEREBRAL",3,
28202,"IMPLANTACIÓN DE DISPOSITIVO EXTRADURAL",3,
"28203","IMPLANTACIÓN DE DISPOSITIVO INTRACEREBRAL (ELECTRODOS, TRASDUCTORES DE PIC)",3,
"28300","IMPLANTACIÓN DE NEUROESTIMULADOR INTRACRANEAL SOD",3,
"28301","IMPLANTACIÓN DE NEUROESTIMULADOR POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA",3,
"28302","COLOCACIÓN EPIDURAL DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL",3,
"28303","IMPLANTACIÓN PARENQUIMATOSA DEL ELECTRODO DE NEUROES-TIMULACION INTRACRANEAL",3,
"30100","EXTRACCIÓN DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO SOD",3,
"30101","EXTRACCIÓN DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINECTOMIA",3,
"30102","EXTRACCIÓN DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR HEMILAMINECTOMIA",3,
"30103","EXTRACCIÓN DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINOTOMIA",3,
"30200","EXPLORACIÓN Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES SOD",3,
"30201","EXPLORACIÓN Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES POR LAMINECTOMIA",3,
"30202","EXPLORACIÓN Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES POR HEMILAMINECTOMIA",3,
"30203","EXPLORACIÓN Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES POR LAMINOTOMIA",3,
"30207","EXPLORACIÓN Y DESCOMPRESION DEL CANAL RAQUIDEO (EXCEPTO SEGMENTO CERVICAL) Y RAICES ESPINALES, POR FORAMINOTOMIA POSTERIOR",3,
"30300","EXPLORACIÓN Y DESCOMPRESION DE RAIZ DE NERVIO ESPINAL SOD",3,
30400,"DRENAJE DE COLECCION ESPINAL EPIDURAL SOD",3,
"30401","DRENAJE DE COLECCION EPIDURAL POR LAMINOTOMIA",3,
"30402","DRENAJE DE COLECCION EPIDURAL POR LAMINECTOMIA",3,
31100,"RIZOTOMIA DE RAIZ NERVIO ESPINAL SOD",3,
32100,"CORDOTOMIA PERCUTÁNEA SOD",3,
32200,"CORDOTOMIA ABIERTA SOD",3,
"32301","LESION DE TRACTOS DE ENTRADA DE RAICES POSTERIORES (DREZ), POR RADIOFRECUENCIA",3,
32400,"MIELOTOMIA ABIERTA SOD",3,
33100,"PUNCION LUMBAR SOD",2,
"33200","BIOPSIA DE MÉDULA ESPINAL O MENINGES ESPINALES SOD",3,
"33201","BIOPSIA DE TUMOR INTRADURALES (INTRAMÉDULARES Y EXTRAME-DULARES) CERVICALES, DORSALES, LUMBOSACROS O COCCIGEOS",3,
"33202","BIOPSIA ABIERTA DE TUMOR DEL FORAMEN MAGNO, VÍA LATERAL",3,
"34100","RESECCIÓN DE TUMORES DEL FORAMEN MAGNO SOD",3,
"34101","RESECCIÓN DE TUMOR DEL FORAMEN MAGNO, POR CRANEOTOMÍA DE FOSA POSTERIOR Y ESCISIÓN DE ARCO POSTERIOR DE ATLAS",3,
"34102","RESECCIÓN DE TUMOR DEL FORAMEN MAGNO, VÍA TRANSCONDILEA",3,
"34103","RESECCIÓN DE TUMOR DEL FORAMEN MAGNO, VÍA TRANSORAL",3,
"34201","RESECCIÓN DE TUMOR EXTRADURAL (EPIDURAL) VÍA POSTERIOR, CON LAMINECTOMIA BILATERAL",3,
"34202","RESECCIÓN DE TUMOR EXTRADURAL (EPIDURAL) VÍA POSTERIOR, CON LAMINOPLASTIA",3,
"34203","RESECCIÓN DE TUMOR EXTRADURAL (EPIDURAL) VÍA POSTERIOR, CON SACRECTOMIA TOTAL O PARCIAL",3,
"34204","RESECCIÓN DE TUMOR EXTRADURAL (EPIDURAL) VÍA ANTERIOR, CON CORPECTOMIA Y ARTRODESIS",3,
"34205","RESECCIÓN DE TUMOR EXTRADURAL (EPIDURAL) VÍA ANTERIOR, CON CORPECTOMIA, ARTRODESIS E INSTRUMENTACION",3,
"34206","RESECCIÓN DE TUMOR EXTRADURAL (EPIDURAL)
CON INSTRUMENTACION VÍA ANTERIOR Y POSTERIOR",3,
"34301","RESECCIÓN DE TUMOR INTRADURAL EXTRAMÉDULAR, VÍA POSTERIOR, POR LAMINECTOMIA BILATERAL",3,
"34302","RESECCIÓN DE TUMOR INTRADURAL EXTRAMÉDULAR, VÍA POSTERIOR, CON LAMINOPLASTIA Y/O DUROPLASTIA",3,
"34303","RESECCIÓN DE TUMOR INTRADURAL EXTRAMÉDULAR, VÍA POSTERIOR, POR LAMINECTOMIA Y FORAMINECTOMIA",3,
"34304","RESECCIÓN DE TUMOR INTRADURAL EXTRAMÉDULAR, VÍA POSTERIOR O POSTERO LATERAL",3,
"34305","RESECCIÓN DE TUMOR INTRADURAL EXTRAMÉDULAR, VÍA ANTERIOR",3,
"34401","RESECCIÓN DE TUMOR INTRADURAL INTRAMÉDULAR, VÍA ANTERIOR",3,
"34402","RESECCIÓN DE TUMOR INTRADURAL INTRAMÉDULAR, VÍA POSTERIOR",3,
"35101","CORRECCIÓN DE MALFORMACIÓN DE MÉDULA ESPINAL, CON INSTRUMENTACION VÍA POSTERIOR",3,
"35102","CORRECCIÓN DE MALFORMACIÓN DE MÉDULA ESPINAL, CON MIELOTOMIA POSTERIOR",3,
"35103","CORRECCIÓN DE MALFORMACIÓN DE MÉDULA ESPINAL, CON DESCOMPRESION VÍA ANTERIOR",3,
"35104","CORRECCIÓN DE MALFORMACIÓN DE MÉDULA ESPINAL, CON FUSION OSEA E INJERTO AUTÓLOGO O HETEROLOGO",3,
"35105","CORRECCIÓN DE MALFORMACIÓN DE MÉDULA ESPINAL, CON RESECCIÓN DE TABIQUE OSEO",3,
"35106","CORRECCIÓN DE MALFORMACIÓN DE MÉDULA ESPINAL, CON SECCION DE FILUM TERMINALIS",3,
"35107","CORRECCIÓN DE MALFORMACIÓN DE MÉDULA ESPINAL, CON RESECCIÓN DE CELE, DUROPLASTIA Y PLASTIA DE PIEL",3,
"35108","CIERRE O LIGADURA DE COMUNICACION PERSISTENTE ENTRE PIEL Y MÉDULA ESPINAL [SENO DERMICO]",3,
"35201","CORRECCIÓN DE ANOMALIA DE MÉDULA ESPINAL EN UNION CRÁNEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON DURO-PLASTIA",3,
"35202","CORRECCIÓN DE ANOMALIA DE MÉDULA ESPINAL EN UNION CRÁNEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON LAMINEC-TOMIA C1-C2 Y DUROPLASTIA",3,
35401,"PLASTIA O INJERTO DE MENINGE ESPINAL",3,
"35402","ESQUIRLECTOMIA CON PLASTIA O INJERTO DE MENINGE ESPINAL",3,
"35500","REPARACIÓN DE FISTULA ESPINAL DE LIQUIDO CEFALORRAQUIDEO SOD",3,
"36100","LISIS O RESECCIÓN DE ADHERENCIAS EXTRADURALES EN MÉDULA ESPINAL Y RAICES DE NERVIOS ESPINALES SOD",3,
37100,"DERIVACIÓN SIRINGO PERITONEAL ESPINAL SOD",3,
37200,"DERIVACIÓN SIRINGO SUBDURAL ESPINAL SOD",3,
37300,"DERIVACIÓN LUMBO PERITONEAL SOD",3,
37400,"DERIVACIÓN LUMBAR EXTERNA SOD",3,
37500,"DERIVACIÓN SIRINGO PLEURAL ESPINAL SOD",3,
"38100","INYECCIÓNES NEUROLITICAS SUBARACNOIDEAS SOD",3,
38200,"NEUROLISIS DE RAICES ESPINALES SOD",3,
"39000","INSERCIÓN DE CATÉTER EN CANAL ESPINAL PARA INFUSION DE SUSTANCIA TERAPEUTICA O PALEATIVA SOD",3,
"39001","INSERCIÓN DE CATÉTER EPIDURAL EN CANAL ESPINAL PARA INFUSION DE SUSTANCIA TERAPEUTICA O PALIATIVA",3,
"39002","INSERCIÓN DE CATÉTER EPIDURAL EN CANAL ESPINAL CON PUERTA DE ENTRADA IMPLANTABLE PARA INFUSION DE SUSTANCIA TERAPEUTICA O PALIATIVA",3,
"39003","INSERCIÓN DE CATÉTER SUBARACNOIDEO EN CANAL ESPINAL PARA INFUSION DE SUSTANCIA TERAPEUTICA O PALIATIVA",3,
"39004","INSERCIÓN DE CATÉTER SUBARACNOIDEO EN CANAL ESPINAL CON PUERTA DE ENTRADA IMPLANTABLE PARA INFUSION DE SUSTANCIA TERAPEUTICA O PALIATIVA",3,
"39100","INYECCIÓN DE ANESTESICO EN EL CANAL ESPINAL SOD",3,
"39300","IMPLANTACIÓN DE NEUROESTIMULADOR ESPINAL SOD",3,
