medCodigo,medNombreGenerico,medFormaFarmaceutica,medConcentracion,medUnidadMedida,medRes008,medRes029,medRes5521,medRes5926,medRes5592
R01AC01422,ÁCIDO CROMOGLÍCICO,SOLUCIÓN NASAL,40 MG/ML (4% ),2,0,1,0,0,0
S01GX01601,ÁCIDO CROMOGLÍCICO,SOLUCIÓN OFTÁLMICA,20 MG/ML (2%),1,0,1,0,0,0
S01GX01602,ÁCIDO CROMOGLÍCICO,SOLUCIÓN OFTÁLMICA,40 MG/ML (4%),2,0,1,0,0,0
V08AA01231,ÁCIDO DIATRIZOICO,SOLUCIÓN ORAL,10% + 66%,1,0,1,0,0,0
V08AA01701,ÁCIDO DIATRIZOICO,SOLUCIÓN INYECTABLE,60%,1,0,1,0,0,0
V08AA01702,ÁCIDO DIATRIZOICO,SOLUCIÓN INYECTABLE,10% + 66%,2,0,1,0,0,0
B03BB01011,ÁCIDO FÓLICO,TABLETAS CON O SIN R,1 MG,1,0,1,0,0,0
V08CA01701,ÁCIDO GADOPENTÉTICO,SOLUCIÓN INYECTABLE,"0,5MMOL/ML",1,0,1,0,0,0
M05BA06701,ÁCIDO IBANDRÓNICO,SOLUCIÓN INYECTABLE,6 MG,1,0,1,0,0,0
M05BI021701,ACIDO IBANDRONICO  **,SOLUCIÓN INYECTABLE,6 MG ,,1,0,0,0,0
V08AA04701,ÁCIDO IOTALÁMICO,SOLUCIÓN INYECTABLE,60%,1,0,1,0,0,0
L04AA06161,ÁCIDO MICOFENÓLICO,TABLETAS CON O SIN R,180MG,1,0,1,0,0,0
L04AA06162,ÁCIDO MICOFENÓLICO,TABLETAS CON O SIN R,250MG,2,0,1,0,0,0
L04AA06163,ÁCIDO MICOFENÓLICO,TABLETAS CON O SIN R,360MG,3,0,1,0,0,0
L04AA06164,ÁCIDO MICOFENÓLICO,TABLETAS CON O SIN R,500MG,4,0,1,0,0,0
L04AA06721,ÁCIDO MICOFENÓLICO, ESTÉRIL I,500MG,1,0,1,0,0,0
M05BA03701,ÁCIDO PAMIDRÓNICO, ESTÉRIL I,90 MG,1,0,1,0,0,0
B02AA02011,ÁCIDO TRANEXÁMICO,TABLETA,500 MG,1,0,1,0,0,0
B02AA02701,ÁCIDO TRANEXÁMICO,SOLUCIÓN INYECTABLE,500 MG/5 ML,1,0,1,0,0,0
N03AG01141,ÁCIDO VALPROICO,TABLETA CON O SINR,250 MG,1,0,1,0,0,0
N03AG01221,ÁCIDO VALPROICO,JARABE,250 MG/5 ML COMO ÁCI,1,0,1,0,0,0
M05BA08721,ÁCIDO ZOLEDRÓNICO, ESTÉRIL I,4MG,1,0,1,0,0,0
M05BA08722,ÁCIDO ZOLEDRÓNICO, ESTÉRIL I,5MG,2,0,1,0,0,0
B05BA039731,ACIDOS GRASOS   **,EMULSIÓN INYECTABLE, 10% 20% Y 30%,,1,0,0,0,0
B05BA0201,ÁCIDOS GRASOS (EMULSIONES GRASAS),EMULSIÓN INYECTABLE,"10% , 20% Y 30%",,0,0,1,1,1
L04AB0401,ADALIMUMAB,INCLUYE TODAS LAS FORMAS FARMACÉUTICAS,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
C07AA,AGENTES BETA BLOQUEANTES NO SELECTIVOS,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO,  CÁPSULA.",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,0,0,1
V07AB99701,AGENTES SOLVENTES Y DILUYENTES,SOLUCIÓN INYECTABLE,"1ML, 2ML, 5ML, 10ML",1,0,1,0,0,0
V07AA007701,AGUA ESTÉRIL PARA INYECCIÓN,,1 ML,,1,0,0,0,0
V07AA007702,AGUA ESTÉRIL PARA INYECCIÓN,,2 ML,,1,0,0,0,0
V07AA007703,AGUA ESTÉRIL PARA INYECCIÓN, ,5 ML,,1,0,0,0,0
V07AA007704,AGUA ESTÉRIL PARA INYECCIÓN, ,10 ML,,1,0,0,0,0
V07AB,AGUA ESTÉRIL PARA INYECCIÓN ,SOLUCIÓN INYECTABLE,TODOS LOS VOLÚMENES,,0,0,0,0,1
V07AB9901,AGUA ESTÉRIL PARA INYECCIÓN ,SOLUCIÓN INYECTABLE,TODOS LOS VOLÚMENES,,0,0,1,1,0
P02CA008011,ALBENDAZOL,TABLETA,200 MG ,,1,0,0,0,0
P02CA008231,ALBENDAZOL,ORAL,100 MG/5 ML (2%) ,,1,0,0,0,0
P02CA0301,ALBENDAZOL,SUSPENSIÓN ORAL,100 MG/5 ML (2%) ,,0,0,1,1,1
P02CA03011,ALBENDAZOL,TABLETA CON O SIN RE,200 MG,1,0,1,0,0,0
P02CA0302,ALBENDAZOL,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
P02CA03231,ALBENDAZOL,ORAL,100 MG/5 ML (2%),1,0,1,0,0,0
B05AA01701,ALBÚMINA,SOLUCIÓN INYECTABLE,20% - 25%,1,0,1,0,0,0
B05AA009701,ALBÚMINA HUMANA NORMAL,SOLUCIÓN INYECTABLE,20% - 25% ,,1,0,0,0,0
B05AA0101,ALBÚMINA HUMANA NORMAL,SOLUCIÓN INYECTABLE,20% - 25%,,0,0,1,1,1
V03AA010701,ALCOHOL ETÍLICO,SOLUCIÓN INYECTABLE,96%,,1,0,0,0,0
V03AB1601,ALCOHOL ETÍLICO,SOLUCIÓN INYECTABLE,"0,96",,0,0,1,1,1
M05BA0401,ALENDRÓNICO ÁCIDO. ,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
C02AA011011,ALFAMETILDOPA,TABLETA,250 MG ,,1,0,0,0,0
C02AB0101,ALFAMETILDOPA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
S01KA012601,ALFAQUIMOTRIPSINA,SOLUCIÓN OFTÁLMICA,750 UI/ML ,,1,0,0,0,0
V06DX01,"ALIMENTO EN POLVO CON VITAMINAS, HIERRO Y ZINC",POLVO,"POR GRAMO: HIERRO: 12,5; VITAMINA A (RETINOL): 300 MCG; ZINC: 5 MG",,0,0,0,0,1
V06DX0101,"ALIMENTO EN POLVO CON VITAMINAS, HIERRO Y ZINC",POLVO,"POR GRAMO: HIERRO: 12,5; VITAMINA A (RETINOL): 300 MCG; ZINC: 5 MG",,0,0,1,1,0
M04AA0101,ALOPURINOL,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
M04AA01011,ALOPURINOL,TABLETA CON O SIN RE,100 MG,1,0,1,0,0,0
M04AA01012,ALOPURINOL,TABLETA CON O SIN RE,300 MG,2,0,1,0,0,0
M04AA013011,ALOPURINOL,TABLETA,100 MG ,,1,0,0,0,0
M04AA013012,ALOPURINOL,TABLETA,300 MG ,,1,0,0,0,0
N05BA014011,ALPRAZOLAM,TABLETA,"0,25 MG ",,1,0,0,0,0
N05BA014012,ALPRAZOLAM,TABLETA,"0,50 MG ",,1,0,0,0,0
N05BA1201,ALPRAZOLAM,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
N05BA12011,ALPRAZOLAM,TABLETA CON O SIN RE,"0,25 MG",1,0,1,0,0,0
N05BA12012,ALPRAZOLAM,TABLETA CON O SIN RE,"0,50 MG",2,0,1,0,0,0
D05AA015371,ALQUITRÁN DE HULLA + ALANTOÍNA,LOCIÓN,5% + 2% ,,1,0,0,0,0
B01AD0201,ALTEPLASA,POLVO ESTÉRIL PARA INYECCIÓN,50 MG,,0,0,1,1,1
B01AD02721,ALTEPLASA, ESTÉRIL I,50 MG,1,0,1,0,0,0
D02AX,ALUMINIO ACETATO,POLVO,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,0,0,1
D02AX9901,ALUMINIO ACETATO,POLVO,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,0
D08AA016311,ALUMINIO ACETATO,,,,1,0,0,0,0
A02AA017011,ALUMINIO HIDRÓXIDO,TABLETA,234 MG ,,1,0,0,0,0
A02AA017231,ALUMINIO HIDRÓXIDO,ORAL,6%,,1,0,0,0,0
A02AB0101,ALUMINIO HIDRÓXIDO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
A02AB0102,ALUMINIO HIDRÓXIDO,SUSPENSIÓN ORAL,"0,06",,0,0,1,1,1
A02AA018011,ALUMINIO HIDRÓXIDO + MAGNESIO HIDRÓXIDO CON O SIN SIMETICONA,TABLETA,200 - 400 MG + 200 - 400 MG ,,1,0,0,0,0
A02AA018231,ALUMINIO HIDRÓXIDO + MAGNESIO HIDRÓXIDO CON O SIN SIMETICONA,ORAL,2 - 6% + 1 - 4% ,,1,0,0,0,0
A02AB1001,ALUMINIO HIDRÓXIDO + MAGNESIO HIDRÓXIDO CON O SIN SIMETICONA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
A02AB1002,ALUMINIO HIDRÓXIDO + MAGNESIO HIDRÓXIDO CON O SIN SIMETICONA,SUSPENSIÓN ORAL,2 - 6% + 1 - 4%,,0,0,1,1,1
N04BB01101,AMANTADINA,TABLETA CON O SIN RE,100 MG,1,0,1,0,0,0
N04BA019101,AMANTADINA SULFATO O CLORHIDRATO,CÁPSULA,100 MG ,,1,0,0,0,0
N04BB0101,AMANTADINA SULFATO O CLORHIDRATO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J02AA01721,AMFOTERICINA B, ESTÉRIL I,50 MG,1,0,1,0,0,0
J01GB06701,AMIKACINA,SOLUCIÓN INYECTABLE,100 MG/2 ML,1,0,1,0,0,0
J01GB06702,AMIKACINA,SOLUCIÓN INYECTABLE,500 MG/2 ML,2,0,1,0,0,0
J01GA020701,AMIKACINA (SULFATO),SOLUCIÓN INYECTABLE,100 MG/2 ML ,,1,0,0,0,0
J01GA020702,AMIKACINA (SULFATO),SOLUCIÓN INYECTABLE,500 MG/2 ML ,,1,0,0,0,0
J01GB0601,AMIKACINA (SULFATO),SOLUCIÓN INYECTABLE,50 MG/ML (5%),,0,0,1,1,1
J01GB0602,AMIKACINA (SULFATO),SOLUCIÓN INYECTABLE,250 MG/ML (25%),,0,0,1,1,0
B05BA01701,AMINOÁCIDOS,SOLUCIÓN INYECTABLE,,1,0,1,0,0,0
B05BA10231,AMINOÁCIDOS COMBINACIONES,SOLUCIÓN ORAL,,1,0,1,0,0,0
B05BA0101,AMINOÁCIDOS ESENCIALES CON O SIN ELECTROLITOS,SOLUCIÓN INYECTABLE,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
B05BA021701,AMINOÁCIDOS ESENCIALES CON O SIN ELECTROLITOS,SOLUCIÓN INYECTABLE,,,1,0,0,0,0
B05BA1001,AMINOÁCIDOS ESENCIALES CON O SIN ELECTROLITOS,SOLUCIÓN ORAL,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,0
V06DA021231,AMINOÁCIDOS ESENCIALES CON O SIN ELECTROLITOS,SOLUCIÓN ORAL,,,1,0,0,0,0
V06DD,AMINOACIDOS INCL COMBINACIONES CON POLIPÉPTIDOS,SOLUCIÓN ORAL,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,0,0,1
R03DA022011,AMINOFILINA,TABLETA,100 MG ,,1,0,0,0,0
R03DA022701,AMINOFILINA,SOLUCIÓN INYECTABLE,240 MG/10 ML ,,1,0,0,0,0
R03DA0501,AMINOFILINA,SOLUCIÓN INYECTABLE,"24 MG / 1 ML (2,4%)",,0,0,1,1,1
R03DA05011,AMINOFILINA,TABLETA CON O SIN RE,100 MG,1,0,1,0,0,0
R03DA0502,AMINOFILINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
R03DA05701,AMINOFILINA,SOLUCIÓN INYECTABLE,240 MG/10 ML,1,0,1,0,0,0
C01BD01011,AMIODARONA,TABLETA CON O SIN RE,200 MG,1,0,1,0,0,0
C01BD01721,AMIODARONA,SOLUCIÓN INYECTABLE,150 MG,1,0,1,0,0,0
C01BA023011,AMIODARONA CLORHIDRATO,TABLETA USO EXCLUSIVO DE ESPECIALISTA,200 MG,,1,0,0,0,0
C01BA023721,AMIODARONA CLORHIDRATO,POLVO PARA INYECCIÓN,150 MG ,,1,0,0,0,0
C01BD0101,AMIODARONA CLORHIDRATO,SOLUCIÓN INYECTABLE,50 MG/ ML (5%),,0,0,1,1,1
C01BD0102,AMIODARONA CLORHIDRATO. ,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
N06AA09011,AMITRIPTILINA,TABLETA CON O SIN RE,25 MG,1,0,1,0,0,0
N06AA024011,AMITRIPTILINA CLORHIDRATO,TABLETA,25 MG ,,1,0,0,0,0
N06AA0901,AMITRIPTILINA CLORHIDRATO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
C08CA01011,AMLODIPINA,TABLETA CON O SIN RE,5 MG,1,0,1,0,0,0
C08CA0101,AMLODIPINO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
C08CA037011,AMLODIPINO,TABLETA,5 MG ,,1,0,0,0,0
J01CA025141,AMOXICILINA,TABLETA O CÁPSULA,250 MG DE BASE,,1,0,0,0,0
J01CA025142,AMOXICILINA,TABLETA O CÁPSULA,500 MG DE BASE,,1,0,0,0,0
J01CA025231,AMOXICILINA,ORAL,"125 MG/5 ML DE BASE (2,5%) ",,1,0,0,0,0
J01CA025232,AMOXICILINA,ORAL,250 MG/5 ML DE BASE (5%) ,,1,0,0,0,0
J01CA0401,AMOXICILINA,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL,"125 MG/5 ML DE BASE (2,5%) ",,0,0,1,1,1
J01CA0402,AMOXICILINA,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL,250 MG/5 ML DE BASE (5%) ,,0,0,1,1,1
J01CA0403,AMOXICILINA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J01CA04141,AMOXICILINA,TABLETA CON O SIN RE,250 MG DE BASE,1,0,1,0,0,0
J01CA04142,AMOXICILINA,TABLETA CON O SIN RE,500 MG DE BASE,2,0,1,0,0,0
J01CA04231,AMOXICILINA, RECONSTIT,125 MG/5 ML DE BASE,1,0,1,0,0,0
J01CA04232,AMOXICILINA, RECONSTIT,250 MG/5 ML DE BASE,2,0,1,0,0,0
J01CR0201,AMOXICILINA - CLAVULANATO,POLVO ESTÉRIL PARA INYECCIÓN,"0,5 G + 0,1 G ",,0,0,1,1,1
J01CR0202,AMOXICILINA - CLAVULANATO,POLVO ESTÉRIL PARA INYECCIÓN,"1 G + 0,2 G ",,0,0,1,1,0
J01CR0203,AMOXICILINA - CLAVULANATO,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL,"(125 MG-400 MG + 28,5-62,5 MG) /5ML",,0,0,1,1,1
J01CR0204,AMOXICILINA - CLAVULANATO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J01CR02011,AMOXICILINA E INHIBIDORES DE L,TABLETA,250 MG + 125 MG,1,0,1,0,0,0
J01CR02161,AMOXICILINA E INHIBIDORES DE L,TABLETA CON O SIN RE,500 MG + 125 MG,1,0,1,0,0,0
J01CR02162,AMOXICILINA E INHIBIDORES DE L,TABLETA CON O SIN RE,875 MG + 125 MG,2,0,1,0,0,0
J01CR02231,AMOXICILINA E INHIBIDORES DE L, RECONSTIT,"(125 MG-400 MG + 28,",1,0,1,0,0,0
J01CR02721,AMOXICILINA E INHIBIDORES DE L, ESTÉRIL I,"0,5 G + 0,1 G",1,0,1,0,0,0
J01CR02722,AMOXICILINA E INHIBIDORES DE L, ESTÉRIL I,"1 G + 0,2 G",2,0,1,0,0,0
J01CA01142,AMPICILINA,TABLETA CON O SIN RE,500 MG,2,0,1,0,0,0
J01CA01231,AMPICILINA, RECONSTIT,"125 MG/5 ML (2,5%)",1,0,1,0,0,0
J01CA01232,AMPICILINA, RECONSTIT,250 MG/5 ML (5%),2,0,1,0,0,0
J01CA01721,AMPICILINA, ESTÉRIL I,500 MG DE BASE,1,0,1,0,0,0
J01CA01722,AMPICILINA, ESTÉRIL I,1 G DE BASE,2,0,1,0,0,0
J01CA0101,AMPICILINA (SAL SÓDICA),POLVO ESTÉRIL PARA INYECCIÓN,1 G DE BASE,,0,0,1,1,1
J01CA0102,AMPICILINA (SAL SÓDICA),POLVO ESTÉRIL PARA INYECCIÓN,500 MG DE BASE,,0,0,1,1,0
J01CA026721,AMPICILINA (SAL SÓDICA),POLVO PARA INYECCIÓN,500 MG DE BASE ,,1,0,0,0,0
J01CA026722,AMPICILINA (SAL SÓDICA),POLVO PARA INYECCIÓN,1 G DE BASE ,,1,0,0,0,0
J01CA0103,AMPICILINA ANHIDRA O TRIHIDRATO,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL,"125 MG/5 ML (2,5%)",,0,0,1,1,1
J01CA0104,AMPICILINA ANHIDRA O TRIHIDRATO,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL,250 MG/5 ML (5%),,0,0,1,1,1
J01CA0105,AMPICILINA ANHIDRA O TRIHIDRATO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J01CA027141,AMPICILINA ANHIDRA O TRIHIDRATO,TABLETA O CÁPSULA,250 MG,,1,0,0,0,0
J01CA027142,AMPICILINA ANHIDRA O TRIHIDRATO,TABLETA O CÁPSULA,500 MG,,1,0,0,0,0
J01CA027231,AMPICILINA ANHIDRA O TRIHIDRATO,ORAL,"125 MG/5 ML (2,5%) ",,1,0,0,0,0
J01CA027232,AMPICILINA ANHIDRA O TRIHIDRATO,ORAL,250 MG/5 ML (5%) ,,1,0,0,0,0
J01CA028721,AMPICILINA SÓDICA + SULBACTAM SÓDICO,POLVO PARA INYECCIÓN,"1 G + 0,5 G ",,1,0,0,0,0
J01CA5101,AMPICILINA SÓDICA + SULBACTAM SÓDICO,POLVO ESTÉRIL PARA INYECCIÓN,"1 G + 0,5 G",,0,0,1,1,1
J01CA51721,"AMPICILINA, COMBINACIONES", ESTÉRIL I,"1 G + 0,5 G",1,0,1,0,0,0
L02BG0301,ANASTROZOL,INCLUYE TODAS LAS FORMAS FARMACÉUTICAS,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J02AA0101,ANFOTERICINA B,POLVO ESTÉRIL PARA INYECCIÓN,50 MG ,,0,0,1,1,1
J02AA029721,ANFOTERICINA B,POLVO PARA INYECCIÓN,50 MG ,,1,0,0,0,0
J06AA06701,"ANTIRRÁBICO, SUERO",INYECTABLE,,1,0,1,0,0,0
J06AA030701,ANTITOXINA TETÁNICA Y DIFTÉRICA,INYECTABLE,,,1,0,0,0,0
N05AX1201,ARIPIPRAZOL,INCLUYE TODAS LAS FORMAS FARMACÉUTICAS,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
P01BE5201,ARTEMETER + LUMENFANTRINE,"TABLETA CON O SIN  RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO, CÁPSULA",20 + 120 MG,,0,0,1,1,0
